时间,耗时,索引,分数,等级,结果
2021-06-02 20:57:36,500ms,0,100,3,PASS
2021-06-02 20:57:37,438ms,0,100,3,PASS
2021-06-02 20:57:39,484ms,0,100,3,PASS
2021-06-02 20:57:40,516ms,0,100,3,PASS
2021-06-02 20:57:44,547ms,0,100,3,PASS
2021-06-02 20:57:45,562ms,0,100,3,PASS
2021-06-02 20:57:46,562ms,0,100,3,PASS
2021-06-02 20:57:48,578ms,0,100,3,PASS
2021-06-02 20:57:51,594ms,0,100,3,PASS
2021-06-02 21:00:23,609ms,0,100,3,PASS
2021-06-02 21:00:26,610ms,0,100,3,PASS
2021-06-02 21:00:27,593ms,0,100,3,PASS
2021-06-02 21:00:29,609ms,0,100,3,PASS
2021-06-02 21:00:31,485ms,0,100,3,NG
2021-06-02 21:00:33,516ms,0,100,3,NG
2021-06-02 21:00:34,485ms,0,100,3,NG
2021-06-02 21:00:38,485ms,0,100,3,NG
2021-06-02 21:00:39,484ms,0,100,3,NG
