时间,耗时,索引,分数,等级,结果
2021-06-01 00:53:56,422ms,0,100,3,NG
2021-06-01 00:54:00,438ms,0,100,3,PASS
2021-06-01 00:54:02,438ms,0,100,3,PASS
2021-06-01 00:54:03,437ms,0,100,3,NG
2021-06-01 00:54:04,437ms,0,100,3,PASS
2021-06-01 00:54:06,469ms,0,100,3,PASS
2021-06-01 00:54:07,500ms,0,100,3,PASS
2021-06-01 00:54:08,516ms,0,100,3,PASS
2021-06-01 00:54:10,500ms,1,100,3,PASS
2021-06-01 00:54:11,469ms,0,100,3,NG
2021-06-01 00:54:12,516ms,1,100,3,PASS
2021-06-01 00:54:14,563ms,0,100,3,PASS
2021-06-01 00:54:15,532ms,0,100,3,PASS
2021-06-01 00:54:17,531ms,0,100,3,PASS
2021-06-01 00:54:18,547ms,0,100,3,PASS
2021-06-01 00:54:21,546ms,0,100,3,PASS
2021-06-01 00:54:23,437ms,0,100,3,PASS
2021-06-01 00:54:24,547ms,0,100,3,PASS
2021-06-01 00:54:26,562ms,1,100,3,PASS
2021-06-01 00:54:27,532ms,1,100,3,PASS
2021-06-01 00:54:30,578ms,0,100,3,PASS
2021-06-01 00:54:33,593ms,1,100,3,PASS
2021-06-01 00:54:35,547ms,1,100,3,PASS
2021-06-01 01:11:16,469ms,0,100,3,PASS
2021-06-01 01:11:17,485ms,0,100,3,PASS
2021-06-01 01:11:18,500ms,0,100,3,PASS
2021-06-01 01:11:21,516ms,0,100,3,PASS
2021-06-01 01:11:23,500ms,0,100,3,PASS
2021-06-01 01:11:25,516ms,0,100,3,PASS
2021-06-01 01:11:26,547ms,0,100,3,PASS
2021-06-01 01:11:29,532ms,0,100,3,PASS
2021-06-01 01:11:31,547ms,0,100,3,PASS
2021-06-01 01:11:33,547ms,0,100,3,PASS
2021-06-01 01:11:36,578ms,0,100,3,PASS
2021-06-01 01:11:40,422ms,0,100,3,PASS
2021-06-01 01:11:42,547ms,0,100,3,PASS
2021-06-01 01:11:43,547ms,0,100,3,PASS
2021-06-01 01:11:45,563ms,0,100,3,PASS
2021-06-01 01:11:46,547ms,0,100,3,PASS
2021-06-01 01:11:48,531ms,0,100,3,PASS
2021-06-01 01:11:49,562ms,0,100,3,PASS
2021-06-01 01:11:51,563ms,0,100,3,PASS
2021-06-01 01:11:53,546ms,0,100,3,PASS
2021-06-01 01:11:54,547ms,0,100,3,PASS
2021-06-01 01:11:56,547ms,0,100,3,PASS
