时间,耗时,索引,分数,等级,结果
2021-06-03 09:15:20,516ms,1,100,3,PASS
2021-06-03 09:15:22,484ms,1,100,3,PASS
2021-06-03 09:15:23,531ms,1,100,3,PASS
2021-06-03 09:15:25,562ms,1,100,3,PASS
2021-06-03 09:15:27,579ms,1,100,3,PASS
2021-06-03 09:15:33,594ms,1,100,3,PASS
2021-06-03 09:15:40,546ms,0,100,3,NG
2021-06-03 09:15:42,609ms,1,100,3,PASS
2021-06-03 09:48:40,515ms,0,100,3,PASS
2021-06-03 09:48:42,531ms,0,100,3,PASS
2021-06-03 09:48:43,516ms,0,100,3,PASS
2021-06-03 09:48:45,562ms,0,100,3,PASS
2021-06-03 09:48:46,438ms,0,100,3,NG
2021-06-03 09:48:48,594ms,0,100,3,PASS
2021-06-03 09:48:49,593ms,0,100,3,PASS
2021-06-03 09:48:51,593ms,0,100,3,PASS
2021-06-03 09:48:52,578ms,0,100,3,PASS
2021-06-03 09:48:54,453ms,0,100,3,PASS
2021-06-03 09:48:55,437ms,0,100,3,PASS
2021-06-03 09:48:56,406ms,0,100,3,PASS
2021-06-03 09:48:59,578ms,0,100,3,PASS
2021-06-03 09:49:01,578ms,0,100,3,PASS
2021-06-03 09:49:02,422ms,0,100,3,PASS
2021-06-03 09:49:05,469ms,0,100,3,PASS
2021-06-03 09:49:07,578ms,0,100,3,PASS
2021-06-03 09:49:10,593ms,0,100,3,PASS
2021-06-03 09:49:12,610ms,0,100,3,PASS
