时间,耗时,索引,分数,等级,结果
2021-10-08 10:59:58,359ms,0,258,3,PASS
2021-10-08 11:00:00,375ms,0,64,3,PASS
2021-10-08 11:00:01,297ms,0,43,3,PASS
2021-10-08 11:00:02,406ms,0,185,3,PASS
2021-10-08 11:00:04,344ms,0,53,3,PASS
2021-10-08 11:00:05,344ms,0,162,3,PASS
2021-10-08 11:00:07,422ms,0,171,3,PASS
2021-10-08 11:00:08,406ms,0,201,3,PASS
2021-10-08 11:00:09,437ms,0,126,3,PASS
2021-10-08 11:00:11,406ms,0,240,3,PASS
2021-10-08 11:00:12,407ms,0,93,3,PASS
2021-10-08 11:00:13,422ms,0,92,3,PASS
2021-10-08 11:00:14,469ms,0,252,3,PASS
2021-10-08 11:00:16,469ms,0,189,3,PASS
2021-10-08 11:00:17,297ms,0,39,3,PASS
2021-10-08 11:00:18,375ms,220,47,3,NG
2021-10-08 11:00:19,344ms,224,50,3,NG
2021-10-08 11:00:21,391ms,208,47,3,NG
2021-10-08 11:05:00,344ms,216,49,3,NG
2021-10-08 11:05:02,312ms,206,38,3,NG
2021-10-08 11:05:03,421ms,226,55,3,NG
2021-10-08 11:05:04,328ms,195,39,3,NG
2021-10-08 11:07:12,360ms,214,45,3,NG
2021-10-08 11:07:13,312ms,208,41,3,NG
2021-10-08 11:07:16,484ms,217,53,3,NG
2021-10-08 11:07:17,390ms,199,43,3,NG
2021-10-08 11:07:20,328ms,215,46,3,NG
2021-10-08 11:07:21,359ms,219,49,3,NG
2021-10-08 11:07:23,344ms,226,55,3,NG
2021-10-08 11:07:25,391ms,213,45,3,NG
2021-10-08 11:07:26,328ms,214,48,3,NG
2021-10-08 11:07:31,453ms,0,60,3,PASS
2021-10-08 11:07:33,500ms,0,98,3,PASS
2021-10-08 11:07:36,453ms,0,111,3,PASS
2021-10-08 11:07:37,390ms,0,58,3,PASS
2021-10-08 11:07:38,328ms,185,35,3,NG
2021-10-08 11:07:39,328ms,0,49,3,PASS
2021-10-08 11:07:40,422ms,0,123,3,PASS
2021-10-08 11:07:42,453ms,0,126,3,PASS
