时间,耗时,索引,分数,等级,结果
2021-12-24 09:02:58,328ms,211,57,3,NG
2021-12-24 09:03:03,312ms,211,56,3,NG
2021-12-24 09:03:29,468ms,223,85,3,NG
2021-12-24 09:03:44,359ms,211,72,3,NG
2021-12-24 09:03:47,344ms,212,75,3,NG
2021-12-24 09:03:50,343ms,216,81,3,NG
2021-12-24 09:03:52,328ms,213,73,3,NG
2021-12-24 09:03:55,328ms,203,68,3,NG
2021-12-24 09:03:57,312ms,200,65,3,NG
2021-12-24 09:03:59,344ms,178,57,3,NG
2021-12-24 09:04:01,344ms,214,79,3,NG
2021-12-24 10:08:22,282ms,0,118,3,PASS
2021-12-24 10:08:31,391ms,204,15,3,NG
2021-12-24 10:08:38,266ms,202,15,3,NG
2021-12-24 10:08:41,390ms,206,16,3,NG
2021-12-24 10:08:44,344ms,0,48,3,PASS
2021-12-24 10:08:51,281ms,0,107,3,PASS
2021-12-24 10:08:57,281ms,204,16,3,NG
2021-12-24 10:09:01,406ms,208,16,3,NG
2021-12-24 10:09:05,265ms,203,16,3,NG
2021-12-24 10:09:09,265ms,201,16,3,NG
2021-12-24 10:09:12,266ms,196,15,3,NG
2021-12-24 10:09:17,282ms,209,16,3,NG
2021-12-24 10:09:20,281ms,204,15,3,NG
2021-12-24 10:09:24,282ms,205,16,3,NG
2021-12-24 10:09:27,281ms,204,16,3,NG
2021-12-24 10:09:31,281ms,211,15,3,NG
2021-12-24 10:09:34,281ms,205,16,3,NG
2021-12-24 10:09:39,1265ms,205,16,3,NG
2021-12-24 10:09:41,266ms,201,14,3,NG
2021-12-24 10:09:45,250ms,170,12,3,NG
2021-12-24 10:09:47,281ms,206,15,3,NG
2021-12-24 10:09:50,281ms,211,15,3,NG
2021-12-24 10:09:54,1297ms,211,15,3,NG
2021-12-24 10:09:57,265ms,0,49,3,PASS
2021-12-24 10:10:00,297ms,0,39,3,PASS
2021-12-24 10:10:02,265ms,198,14,3,NG
2021-12-24 10:10:06,265ms,0,87,3,PASS
2021-12-24 10:10:09,297ms,206,15,3,NG
2021-12-24 10:10:11,266ms,199,15,3,NG
2021-12-24 10:10:13,296ms,200,15,3,NG
2021-12-24 10:10:16,297ms,198,15,3,NG
2021-12-24 10:10:19,297ms,201,16,3,NG
2021-12-24 10:10:23,265ms,0,47,3,PASS
2021-12-24 10:10:32,281ms,206,15,3,NG
2021-12-24 10:10:35,281ms,0,46,3,PASS
2021-12-24 10:10:48,281ms,202,16,3,NG
2021-12-24 10:10:51,391ms,204,15,3,NG
2021-12-24 10:10:56,312ms,202,15,3,NG
2021-12-24 10:10:59,312ms,0,61,3,PASS
