时间,耗时,索引,分数,等级,结果
2021-05-31 13:51:31,484ms,0,100,3,PASS
2021-05-31 13:51:32,453ms,0,100,3,NG
2021-05-31 13:51:34,516ms,0,100,3,PASS
2021-05-31 13:51:35,547ms,0,100,3,PASS
2021-05-31 13:51:37,500ms,0,100,3,PASS
2021-05-31 13:51:38,515ms,0,100,3,PASS
2021-05-31 13:51:41,531ms,0,100,3,PASS
2021-05-31 13:51:43,547ms,0,100,3,PASS
2021-05-31 13:51:44,562ms,0,100,3,PASS
2021-05-31 13:51:46,547ms,0,100,3,PASS
2021-05-31 13:51:48,578ms,0,100,3,PASS
2021-05-31 13:51:49,531ms,0,100,3,PASS
2021-05-31 13:51:51,578ms,0,100,3,PASS
2021-05-31 13:51:53,578ms,0,100,3,PASS
2021-05-31 13:51:54,469ms,0,100,3,PASS
2021-05-31 13:51:56,563ms,0,100,3,PASS
2021-05-31 13:51:57,563ms,0,100,3,PASS
2021-05-31 13:51:58,594ms,0,100,3,PASS
2021-05-31 13:52:00,594ms,0,100,3,PASS
2021-05-31 13:52:02,593ms,0,100,3,PASS
2021-05-31 13:52:03,609ms,0,100,3,PASS
2021-05-31 14:09:06,469ms,0,100,3,NG
2021-05-31 18:34:47,438ms,0,100,3,PASS
2021-05-31 18:34:49,437ms,0,100,3,NG
2021-05-31 18:34:51,437ms,0,100,3,PASS
2021-05-31 18:34:55,421ms,0,100,3,NG
2021-05-31 18:34:56,469ms,0,100,3,NG
