时间,耗时,索引,分数,等级,结果
2021-09-23 15:02:04,563ms,0,100,3,PASS
2021-09-23 15:02:06,563ms,0,100,3,PASS
2021-09-23 15:02:10,579ms,0,100,3,PASS
2021-09-23 15:02:11,593ms,0,100,3,PASS
2021-09-23 15:02:13,578ms,0,100,3,PASS
2021-09-23 15:02:15,594ms,0,100,3,PASS
2021-09-23 15:02:17,593ms,0,100,3,PASS
2021-09-23 15:02:18,594ms,0,100,3,PASS
2021-09-23 15:02:19,500ms,0,100,3,NG
2021-09-23 15:02:21,515ms,0,100,3,NG
2021-09-23 15:02:22,531ms,0,100,3,NG
2021-09-23 15:02:24,500ms,0,100,3,NG
2021-09-23 15:02:25,500ms,0,100,3,NG
2021-09-23 15:02:26,500ms,0,100,3,NG
2021-09-23 15:02:28,515ms,0,100,3,NG
2021-09-23 15:02:29,594ms,0,100,3,PASS
2021-09-23 15:02:31,656ms,0,100,3,PASS
2021-09-23 15:02:33,641ms,0,100,3,PASS
2021-09-23 15:02:34,625ms,0,100,3,PASS
2021-09-23 15:02:36,516ms,0,100,3,NG
