时间,耗时,索引,分数,等级,结果
2021-12-23 16:13:17,344ms,0,0,3,NG
2021-12-23 16:18:08,422ms,204,43,3,NG
2021-12-23 16:20:00,453ms,1,45,3,PASS
2021-12-23 16:20:02,453ms,199,84,3,NG
2021-12-23 16:20:06,375ms,206,93,3,NG
2021-12-23 16:20:10,344ms,204,87,3,NG
2021-12-23 16:20:13,359ms,191,86,3,NG
2021-12-23 16:20:17,515ms,200,93,3,NG
2021-12-23 16:20:20,453ms,214,101,3,NG
2021-12-23 16:20:25,515ms,205,94,3,NG
2021-12-23 16:20:30,359ms,3,68,3,PASS
2021-12-23 16:20:42,484ms,202,95,3,NG
2021-12-23 16:20:45,375ms,216,105,3,NG
2021-12-23 16:20:47,422ms,162,70,3,NG
2021-12-23 16:20:50,437ms,208,92,3,NG
2021-12-23 16:20:53,344ms,204,86,3,NG
2021-12-23 16:20:54,453ms,202,86,3,NG
2021-12-23 16:20:55,391ms,210,102,3,NG
2021-12-23 16:21:21,375ms,176,11,3,NG
2021-12-23 16:21:26,391ms,203,12,3,NG
2021-12-23 16:21:29,281ms,206,13,3,NG
2021-12-23 16:21:33,282ms,207,13,3,NG
2021-12-23 16:21:36,375ms,0,48,3,PASS
2021-12-23 16:21:41,281ms,198,17,3,NG
2021-12-23 16:21:43,281ms,206,18,3,NG
2021-12-23 16:21:46,297ms,0,60,3,PASS
2021-12-23 16:21:51,422ms,0,67,3,PASS
2021-12-23 16:21:52,282ms,0,45,3,PASS
2021-12-23 16:21:53,391ms,188,20,3,NG
2021-12-23 16:21:55,297ms,0,94,3,PASS
2021-12-23 16:21:56,297ms,192,21,3,NG
2021-12-23 16:22:00,312ms,193,21,3,NG
2021-12-23 16:22:01,297ms,0,181,3,PASS
2021-12-23 16:22:03,312ms,0,42,3,PASS
2021-12-23 16:22:05,281ms,0,46,3,PASS
2021-12-23 16:22:07,343ms,0,87,3,PASS
2021-12-23 16:22:09,296ms,0,80,3,PASS
2021-12-23 16:22:11,296ms,194,20,3,NG
2021-12-23 16:22:13,281ms,189,20,3,NG
2021-12-23 16:22:15,282ms,205,24,3,NG
2021-12-23 16:22:18,282ms,0,98,3,PASS
2021-12-23 16:22:23,281ms,0,56,3,PASS
2021-12-23 16:22:26,281ms,0,111,3,PASS
2021-12-23 16:23:31,282ms,200,22,3,NG
2021-12-23 16:23:36,281ms,185,18,3,NG
2021-12-23 16:23:39,313ms,221,27,3,NG
2021-12-23 16:23:44,359ms,211,25,3,NG
2021-12-23 16:23:47,282ms,193,20,3,NG
2021-12-23 16:23:51,281ms,206,25,3,NG
2021-12-23 16:23:55,281ms,203,22,3,NG
2021-12-23 16:25:58,422ms,186,46,3,NG
2021-12-23 16:26:17,313ms,203,51,3,NG
2021-12-23 16:26:20,438ms,195,50,3,NG
2021-12-23 16:26:23,344ms,0,53,3,PASS
2021-12-23 16:26:28,282ms,0,91,3,PASS
2021-12-23 16:26:33,266ms,0,43,3,PASS
